2002258,약사법 일부개정법률안,정춘숙,의원,2016-09-09,2016-09-12,보건복지위원회,2016-11-17,대안반영폐기
2002233,농어업인 삶의 질 향상 및 농어촌지역 개발촉진에 관한 특별법 일부개정법률안,김종회,의원,2016-09-09,2016-09-12,농림축산식품해양수산위원회,2016-11-17,대안반영폐기
2002183,여객자동차 운수사업법 일부개정법률안,손금주,의원,2016-09-06,2016-09-07,국토교통위원회,2016-11-17,대안반영폐기
2002093,식품위생법 일부개정법률안,주승용,의원,2016-09-02,2016-09-05,보건복지위원회,2016-11-17,대안반영폐기
2002017,여객자동차 운수사업법 일부개정법률안,박맹우,의원,2016-09-01,2016-09-02,국토교통위원회,2016-11-17,대안반영폐기
2002016,댐건설 및 주변지역지원 등에 관한 법률 일부개정법률안,박맹우,의원,2016-09-01,2016-09-02,국토교통위원회,2016-11-17,대안반영폐기
2002012,국민건강증진법 일부개정법률안,최명길,의원,2016-09-01,2016-09-02,보건복지위원회,2016-11-17,대안반영폐기
2002007,국가균형발전 특별법 일부개정법률안,이찬열,의원,2016-09-01,2016-10-06,산업통상자원위원회,2016-11-17,수정가결
2001997,지역 개발 및 지원에 관한 법률 일부개정법률안,박덕흠,의원,2016-08-31,2016-09-01,국토교통위원회,2016-11-17,수정가결
2001969,약사법 일부개정법률안,최도자,의원,2016-08-31,2016-09-01,보건복지위원회,2016-11-17,대안반영폐기
2001947,여객자동차 운수사업법 일부개정법률안,송석준,의원,2016-08-30,2016-08-31,국토교통위원회,2016-11-17,대안반영폐기
2001945,감염병의 예방 및 관리에 관한 법률 일부개정법률안,윤소하,의원,2016-08-30,2016-08-31,보건복지위원회,2016-11-17,대안반영폐기
2001937,긴급복지지원법 일부개정법률안,최도자,의원,2016-08-29,2016-08-30,보건복지위원회,2016-11-17,원안가결
2001930,수목원·정원의 조성 및 진흥에 관한 법률 일부개정법률안,정부,정부,2016-08-29,2016-08-30,농림축산식품해양수산위원회,2016-11-17,수정가결
2001921,의료기기법 일부개정법률안,최도자,의원,2016-08-29,2016-08-30,보건복지위원회,2016-11-17,대안반영폐기
2001916,노인복지법 일부개정법률안,최도자,의원,2016-08-29,2016-08-30,보건복지위원회,2016-11-17,대안반영폐기
2001908,의료기사 등에 관한 법률 일부개정법률안,최도자,의원,2016-08-29,2016-08-30,보건복지위원회,2016-11-17,대안반영폐기
2001899,공중화장실 등에 관한 법률 일부개정법률안,안규백,의원,2016-08-29,2016-08-30,안전행정위원회,2016-11-17,원안가결
2001877,약사법 일부개정법률안,권미혁,의원,2016-08-29,2016-08-30,보건복지위원회,2016-11-17,대안반영폐기
2001863,여객자동차 운수사업법 일부개정법률안,박완주,의원,2016-08-26,2016-08-29,국토교통위원회,2016-11-17,대안반영폐기
2001833,감염병의 예방 및 관리에 관한 법률 일부개정법률안,양승조,의원,2016-08-26,2016-08-29,보건복지위원회,2016-11-17,대안반영폐기
2001826,공인중개사법 일부개정법률안,전혜숙,의원,2016-08-25,2016-08-26,국토교통위원회,2016-11-17,대안반영폐기
2001818,모자보건법 일부개정법률안,박광온,의원,2016-08-25,2016-08-26,보건복지위원회,2016-11-17,대안반영폐기
2001815,농어촌구조개선 특별회계법 일부개정법률안,황주홍,의원,2016-08-25,2016-08-26,농림축산식품해양수산위원회,2016-11-17,원안가결
2001797,산지관리법 일부개정법률안,이만희,의원,2016-08-25,2016-08-26,농림축산식품해양수산위원회,2016-11-17,대안반영폐기
