2014657,사회복지사업법 일부개정법률안,정부,정부,2018-07-31,2018-08-02,보건복지위원회,2018-12-27,대안반영폐기
2014653,도선법 일부개정법률안,정부,정부,2018-07-31,2018-08-02,농림축산식품해양수산위원회,2018-12-27,대안반영폐기
2014650,노숙인 등의 복지 및 자립지원에 관한 법률 일부개정법률안,정부,정부,2018-07-31,2018-08-02,보건복지위원회,2018-12-27,대안반영폐기
2014643,장애인복지법 일부개정법률안,정부,정부,2018-07-31,2018-08-02,보건복지위원회,2018-12-27,대안반영폐기
2014642,아동복지법 일부개정법률안,정부,정부,2018-07-31,2018-08-02,보건복지위원회,2018-12-27,대안반영폐기
2014641,어린이 식생활안전관리 특별법 일부개정법률안,정부,정부,2018-07-31,2018-08-02,보건복지위원회,2018-12-27,대안반영폐기
2014633,응급의료에 관한 법률 일부개정법률안,이명수,의원,2018-07-31,2018-08-02,보건복지위원회,2018-12-27,대안반영폐기
2014610,장애인복지법 일부개정법률안,신상진,의원,2018-07-27,2018-07-30,보건복지위원회,2018-12-27,대안반영폐기
2014609,식품위생법 일부개정법률안,신상진,의원,2018-07-27,2018-07-30,보건복지위원회,2018-12-27,대안반영폐기
2014590,약사법 일부개정법률안,정부,정부,2018-07-27,2018-07-30,보건복지위원회,2018-12-27,대안반영폐기
2014472,응급의료에 관한 법률 일부개정법률안,윤종필,의원,2018-07-18,2018-07-19,보건복지위원회,2018-12-27,대안반영폐기
2014463,북한이탈주민의 보호 및 정착지원에 관한 법률 일부개정법률안,이태규,의원,2018-07-17,2018-07-18,외교통일위원회,2018-12-27,대안반영폐기
2014447,대·중소기업 상생협력 촉진에 관한 법률 일부개정법률안,박정,의원,2018-07-17,2018-07-18,산업통상자원중소벤처기업위원회,2018-12-27,대안반영폐기
2014443,기초연금법 일부개정법률안,박광온,의원,2018-07-16,2018-07-17,보건복지위원회,2018-12-27,수정가결
2014431,산업안전보건법 일부개정법률안,박광온,의원,2018-07-16,2018-07-17,환경노동위원회,2018-12-27,대안반영폐기
2014429,대·중소기업 상생협력 촉진에 관한 법률 일부개정법률안,박정,의원,2018-07-16,2018-07-17,산업통상자원중소벤처기업위원회,2018-12-27,대안반영폐기
2014409,대·중소기업 상생협력 촉진에 관한 법률 일부개정법률안,박정,의원,2018-07-13,2018-07-17,산업통상자원중소벤처기업위원회,2018-12-27,대안반영폐기
2014396,국민건강보험법 일부개정법률안,박인숙,의원,2018-07-13,2018-07-17,보건복지위원회,2018-12-27,대안반영폐기
2014389,응급의료에 관한 법률 일부개정법률안,박인숙,의원,2018-07-13,2018-07-17,보건복지위원회,2018-12-27,대안반영폐기
2014384,약사법 일부개정법률안,김승희,의원,2018-07-13,2018-07-17,보건복지위원회,2018-12-27,대안반영폐기
2014317,항로표지법 일부개정법률안,송옥주,의원,2018-07-10,2018-07-17,농림축산식품해양수산위원회,2018-12-27,대안반영폐기
2014303,생활주변방사선 안전관리법 일부개정법률안,민경욱,의원,2018-07-10,2018-07-17,과학기술정보방송통신위원회,2018-12-27,대안반영폐기
2014276,산림복지 진흥에 관한 법률 일부개정법률안,황주홍,의원,2018-07-06,2018-07-17,농림축산식품해양수산위원회,2018-12-27,대안반영폐기
2014251,생활주변방사선 안전관리법 일부개정법률안,노웅래,의원,2018-07-06,2018-07-17,과학기술정보방송통신위원회,2018-12-27,대안반영폐기
2014191,응급의료에 관한 법률 일부개정법률안,김광수,의원,2018-07-03,2018-07-17,보건복지위원회,2018-12-27,대안반영폐기
2014122,생활주변방사선 안전관리법 일부개정법률안,신용현,의원,2018-06-29,2018-07-17,과학기술정보방송통신위원회,2018-12-27,대안반영폐기
2014113,도선법 일부개정법률안,김기선,의원,2018-06-29,2018-07-17,농림축산식품해양수산위원회,2018-12-27,대안반영폐기
2014074,해양수산과학기술 육성법 일부개정법률안,위성곤,의원,2018-06-28,2018-07-17,농림축산식품해양수산위원회,2018-12-27,대안반영폐기
2014040,장기등 이식에 관한 법률 일부개정법률안,인재근,의원,2018-06-26,2018-07-17,보건복지위원회,2018-12-27,대안반영폐기
